Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
4054.13,2.47,68.76,120.95,4432.63,2520.08,0.26,5.75,5.82,7.85,0.22,0.26,0.211399994,9.512583281,3.27120394,2.798970339,7.046463236,2.277609469,8305.978774,10301.11903
4054.25,2.45,69.33,120.98,4396.15,2519.46,0.26,5.67,5.73,7.75,0.21,0.25,0.21545599,9.313231654,3.129609117,2.664995643,6.869291951,2.256224257,8229.512074,10224.71385
4054.38,2.44,69.56,122.07,4381.77,2496.83,0.26,5.55,5.62,7.63,0.22,0.26,0.227644005,9.222824239,3.149174389,2.689992217,6.791012915,2.205025481,8297.327724,10292.59101
4054.5,2.45,69.11,122.48,4410.5,2488.64,0.27,5.58,5.67,7.67,0.22,0.26,0.221260014,9.373535171,3.288927284,2.824638993,6.925484552,2.204959865,8394.966722,10390.29153
4054.63,2.47,67.93,122.16,4487.23,2495.09,0.28,5.7,5.8,7.79,0.23,0.27,0.149259996,9.683250349,3.533599601,3.058344015,7.218235991,2.231747413,8526.460691,10521.84701
4054.75,2.49,66.76,121.28,4565.71,2513.1,0.28,5.86,5.99,7.97,0.24,0.27,0.139387999,10.01724488,3.753084553,3.265183073,7.53340877,2.282411662,8607.364855,10602.81269
4054.88,2.5,65.98,120.75,4619.26,2524.24,0.29,5.96,6.11,8.08,0.24,0.28,0.129275999,10.24676854,3.909485716,3.413089883,7.751406966,2.314717146,8664.748854,10660.2582
4055,2.5,65.75,121.74,4636,2503.79,0.29,5.89,6.05,8.01,0.25,0.28,0.119604006,10.29013218,4.034470186,3.538551731,7.79831889,2.274622156,8776.406331,10771.9772
4055.13,2.5,66.3,124.64,4597.37,2445.4,0.3,5.66,5.83,7.77,0.25,0.28,0.110414,10.17412275,4.120101787,3.630549058,7.678108745,2.172372499,8934.870926,10930.50331
4055.25,2.5,67.92,130.41,4487.76,2337.18,0.31,5.21,5.39,7.32,0.26,0.29,0.101110001,9.814287861,4.138500006,3.662293691,7.316357236,1.984358242,9164.897002,11160.5909
4055.38,2.5,70.52,138.52,4321.91,2200.38,0.33,4.65,4.83,6.72,0.27,0.29,0.095501995,9.256185793,4.05565291,3.594719481,6.766613031,1.753943819,9419.496247,11415.25166
4055.5,2.47,73.97,146.97,4120.72,2073.95,0.33,4.1,4.26,6.12,0.27,0.29,0.094723997,8.528580371,3.792921716,3.350409878,6.077380234,1.539454444,9585.972448,11581.78938
4055.63,2.42,78.27,154.11,3894.18,1977.81,0.33,3.64,3.77,5.6,0.27,0.29,0.098512001,7.713698387,3.355849636,2.937028086,5.326328519,1.373928788,9587.305765,11583.18421
4055.75,2.39,82.49,158.62,3695.02,1921.55,0.31,3.36,3.45,5.28,0.25,0.28,0.116487999,7.061615437,2.925995429,2.528915181,4.73007745,1.279206533,9448.5698,11444.50976
